lemma,upos,lexical_class
баскетбол,NOUN,everyday
баскетболист,NOUN,everyday
бассейн,NOUN,everyday
батарея,NOUN,general
батон,NOUN,general
бахила,NOUN,general
башня,NOUN,general
бег,NOUN,everyday
бегать,VERB,everyday
беглый,ADJ,specialized
беда,NOUN,general
бедность,NOUN,general
бедный,ADJ,general
бедствие,NOUN,specialized
бежать,VERB,general
бежевый,ADJ,everyday
беженец,NOUN,specialized
без,ADP,general
безбожно,ADV,everyday
безденежье,NOUN,everyday
бездомный,ADJ,everyday
бездумный,ADJ,everyday
безналичный,ADJ,general
безобидный,ADJ,everyday
безопасно,ADV,everyday
безопасность,NOUN,general
безопасность,PROPN,general
безопасный,ADJ,general
безработица,NOUN,general
безударный,ADJ,specialized
безумие,NOUN,specialized
безусловно,ADV,general
безусловный,ADJ,general
бекон,NOUN,everyday
белок,NOUN,general
белокаменный,ADJ,everyday
белоруссия,PROPN,everyday
белорусский,ADJ,general
белоусов,PROPN,everyday
белый,ADJ,general
бельё,NOUN,everyday
бензин,NOUN,everyday
бензиновый,ADJ,general
бензобак,NOUN,general
бергамот,NOUN,everyday
берег,NOUN,everyday
берестяной,ADJ,specialized
беречь,VERB,everyday
берлинский,ADJ,specialized
берёза,NOUN,general
берёзовый,ADJ,everyday
бесить,VERB,everyday
бесконечно,ADV,general
бесконечный,ADJ,general
беспилотный,ADJ,everyday
бесплатно,ADV,everyday
бесплатный,ADJ,general
беспозвоночное,NOUN,specialized
беспокоить,VERB,general
беспокойство,NOUN,general
беспомощность,NOUN,everyday
беспорядок,NOUN,everyday
беспосадочный,ADJ,everyday
беспроводной,ADJ,everyday
беспроводный,ADJ,everyday
бессмертный,PROPN,specialized
бессмысленный,ADJ,general
бессонный,ADJ,general
бесспорный,ADJ,specialized
бесцельно,ADV,everyday
бесчисленный,ADJ,general
бетон,NOUN,everyday
библейский,ADJ,specialized
библиографический,ADJ,general
библиотека,NOUN,general
библиотекарь,NOUN,general
библиотечный,ADJ,everyday
